country,year,party_shift,neighbors_conflict,infant_mortality,gdp_growth,gdp_per_capita_ppp,population,inflation,unemployment,democracy_score,anocracy_polity,regime_durability,total_conflict_magnitude,civil_conflict,ethnic_conflict,international_conflict,any_conflict,partial_democracy,regime_openness,tenure_years,infant_mortality_lag1,gdp_growth_lag1,gdp_per_capita_ppp_lag1,inflation_lag1,unemployment_lag1,total_conflict_magnitude_lag1,democracy_score_lag1,gdp_growth_2yr_avg,high_infant_mortality,high_inflation,partial_dem_x_high_mort,partial_dem_x_nbr_conflict,conflict_neighborhood_4plus,conflict_neighborhood_2plus
ARG,1970,0,0,59.3,3.04564331917115,18270.06444120635,23878327.0,5.531981770439344,6.6025,-9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,18.4,3.53620866972961,18109.67372703895,5.66318573909345,6.662,0.0,8.0,3.04564331917115,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1971,0,0,58.7,5.65813108184925,18270.06444120635,24257208.0,5.531981770439344,6.6025,-9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,59.3,3.04564331917115,18109.67372703895,5.66318573909345,6.662,0.0,-9.0,4.3518872005102,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1972,0,0,58.0,1.62841651825939,18270.06444120635,24644328.0,5.531981770439344,6.6025,-9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2,58.7,5.65813108184925,18109.67372703895,5.66318573909345,6.662,0.0,-9.0,3.64327380005432,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1973,0,0,56.9,2.81175403849035,18270.06444120635,25046005.0,5.531981770439344,6.6025,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3,58.0,1.62841651825939,18109.67372703895,5.66318573909345,6.662,0.0,-9.0,2.22008527837487,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1974,0,0,55.3,5.5338043957736,18270.06444120635,25461351.0,5.531981770439344,6.6025,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4,56.9,2.81175403849035,18109.67372703895,5.66318573909345,6.662,0.0,6.0,4.172779217131975,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1975,0,0,53.1,-0.0284121037110907,18270.06444120635,25874107.0,5.531981770439344,6.6025,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5,55.3,5.5338043957736,18109.67372703895,5.66318573909345,6.662,0.0,6.0,2.7526961460312545,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1976,0,0,50.3,-2.01825151683394,18270.06444120635,26282283.0,5.531981770439344,6.6025,-9.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.5,0.0,6,53.1,-0.0284121037110907,18109.67372703895,5.66318573909345,6.662,0.0,6.0,-1.0233318102725153,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1977,0,0,47.0,6.93414775653342,18270.06444120635,26701805.0,5.531981770439344,6.6025,-9.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.5,0.0,7,50.3,-2.01825151683394,18109.67372703895,5.66318573909345,6.662,3.0,-9.0,2.45794811984974,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1978,0,0,43.2,-4.50612480201359,18270.06444120635,27132158.0,5.531981770439344,6.6025,-9.0,0.0,2.0,3.0,3.0,0.0,0.0,1.0,0.5,0.0,8,47.0,6.93414775653342,18109.67372703895,5.66318573909345,6.662,3.0,-9.0,1.2140114772599153,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1979,0,0,39.6,10.2227634638681,18270.06444120635,27568895.0,5.531981770439344,6.6025,-9.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,0.5,0.0,9,43.2,-4.50612480201359,18109.67372703895,5.66318573909345,6.662,3.0,-9.0,2.858319330927255,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1980,0,0,36.3,1.51878394990179,18270.06444120635,28011596.0,5.531981770439344,6.6025,-9.0,0.0,4.0,3.0,3.0,0.0,0.0,1.0,0.5,0.0,10,39.6,10.2227634638681,18109.67372703895,5.66318573909345,6.662,3.0,-9.0,5.870773706884945,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1981,0,0,33.5,-5.18978914135593,18270.06444120635,28463959.0,5.531981770439344,6.6025,-8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11,36.3,1.51878394990179,18109.67372703895,5.66318573909345,6.662,3.0,-9.0,-1.8355025957270699,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1982,0,0,31.1,-0.735659159103619,18270.06444120635,28924262.0,5.531981770439344,6.6025,-8.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,12,33.5,-5.18978914135593,18109.67372703895,5.66318573909345,6.662,0.0,-8.0,-2.9627241502297745,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1983,1,0,29.1,4.34909327926756,18270.06444120635,29391332.0,5.531981770439344,6.6025,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,13,31.1,-0.735659159103619,18109.67372703895,5.66318573909345,6.662,1.0,-8.0,1.8067170600819704,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1984,0,0,27.4,1.57073870182023,18270.06444120635,29863093.0,5.531981770439344,6.6025,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,29.1,4.34909327926756,18109.67372703895,5.66318573909345,6.662,0.0,8.0,2.959915990543895,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1985,0,0,26.2,-5.18902435343904,18270.06444120635,30336441.0,5.531981770439344,6.6025,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,27.4,1.57073870182023,18109.67372703895,5.66318573909345,6.662,0.0,8.0,-1.8091428258094049,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1986,0,0,25.4,6.15337706275693,18270.06444120635,30811980.0,5.531981770439344,6.6025,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2,26.2,-5.18902435343904,18109.67372703895,5.66318573909345,6.662,0.0,8.0,0.48217635465894526,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1987,0,0,25.0,2.70486882770558,18270.06444120635,31291762.0,5.531981770439344,6.6025,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3,25.4,6.15337706275693,18109.67372703895,5.66318573909345,6.662,0.0,8.0,4.429122945231255,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1988,0,0,24.9,-1.08993334133791,18270.06444120635,31780532.0,5.531981770439344,6.6025,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4,25.0,2.70486882770558,18109.67372703895,5.66318573909345,6.662,0.0,8.0,0.807467743183835,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1989,1,0,24.9,-7.15694965597953,18270.06444120635,32270948.0,5.531981770439344,6.6025,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5,24.9,-1.08993334133791,18109.67372703895,5.66318573909345,6.662,0.0,8.0,-4.12344149865872,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1990,0,0,24.8,-2.46721377810472,17007.2844317191,32755901.0,5.531981770439344,6.6025,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,24.9,-7.15694965597953,18109.67372703895,5.66318573909345,6.662,0.0,7.0,-4.812081717042125,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1991,0,0,24.5,9.13311056738961,18295.6091996812,33230294.0,5.531981770439344,5.44,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,24.8,-2.46721377810472,17007.2844317191,5.66318573909345,6.662,0.0,7.0,3.3329483946424445,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1992,0,0,23.8,7.93729155643076,19476.2840606477,33693527.0,5.531981770439344,6.36,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2,24.5,9.13311056738961,18295.6091996812,5.66318573909345,5.44,0.0,7.0,8.535201061910184,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1993,0,0,23.0,8.20697907221228,20791.3451479504,34152717.0,5.531981770439344,10.1,7.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3,23.8,7.93729155643076,19476.2840606477,5.66318573909345,6.36,0.0,7.0,8.072135314321521,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1994,0,0,22.0,5.83620070368526,21711.842788091,34613491.0,5.531981770439344,11.76,7.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4,23.0,8.20697907221228,20791.3451479504,5.66318573909345,10.1,0.0,7.0,7.021589887948769,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1995,0,0,20.9,-2.84520961057079,20819.4999479903,35070020.0,5.531981770439344,18.8,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5,22.0,5.83620070368526,21711.842788091,5.66318573909345,11.76,0.0,7.0,1.495495546557236,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1996,0,0,19.9,5.52668982715234,21695.5949515372,35513793.0,5.531981770439344,17.11,7.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6,20.9,-2.84520961057079,20819.4999479903,5.66318573909345,18.8,0.0,7.0,1.3407401082907757,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1997,0,0,18.9,8.1110467707457,23172.1583398342,35947791.0,5.531981770439344,14.82,7.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,7,19.9,5.52668982715234,21695.5949515372,5.66318573909345,17.11,0.0,7.0,6.81886829894902,1.0,0.0,0.5,0.0,0.0,0.0
ARG,1998,0,0,18.0,3.85017885156228,23783.1017185449,36372860.0,5.531981770439344,12.65,7.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,8,18.9,8.1110467707457,23172.1583398342,5.66318573909345,14.82,0.0,7.0,5.980612811153992,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1999,1,0,17.3,-3.38545704063269,22714.5111302701,36794682.0,5.531981770439344,14.05,8.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,9,18.0,3.85017885156228,23783.1017185449,5.66318573909345,12.65,0.0,7.0,0.23236090546479593,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2000,0,0,16.7,-0.78899893905691,22281.3814299958,37213984.0,5.531981770439344,15.0,8.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,17.3,-3.38545704063269,22714.5111302701,5.66318573909345,14.05,0.0,8.0,-2.087227989844799,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2001,0,0,16.2,-4.40883968258557,21066.4581290433,37624825.0,5.531981770439344,17.32,8.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,16.7,-0.78899893905691,22281.3814299958,5.66318573909345,15.0,0.0,8.0,-2.598919310821239,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2002,0,0,15.8,-10.8944848285903,18571.7020471274,38029349.0,5.531981770439344,19.59,8.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2,16.2,-4.40883968258557,21066.4581290433,5.66318573909345,17.32,0.0,8.0,-7.651662255587935,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2003,1,0,15.3,8.83704079576924,20005.1385113465,38424282.0,5.531981770439344,15.36,8.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3,15.8,-10.8944848285903,18571.7020471274,5.66318573909345,19.59,0.0,8.0,-1.02872201641053,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2004,0,0,14.9,9.02957330068152,21591.449396517,38815916.0,5.531981770439344,13.522,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,15.3,8.83704079576924,20005.1385113465,5.66318573909345,15.36,0.0,8.0,8.93330704822538,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2005,0,0,14.4,8.85165992013437,23262.4075792816,39216789.0,5.531981770439344,11.506,8.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,14.9,9.02957330068152,21591.449396517,5.66318573909345,13.522,0.0,8.0,8.940616610407945,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2006,0,0,14.0,8.04715150043027,24877.2493922296,39622115.0,5.531981770439344,10.078,8.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2,14.4,8.85165992013437,23262.4075792816,5.66318573909345,11.506,0.0,8.0,8.44940571028232,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2007,0,0,13.6,9.00765087504757,26850.6645932771,40016763.0,5.531981770439344,8.47,8.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3,14.0,8.04715150043027,24877.2493922296,5.66318573909345,10.078,0.0,8.0,8.52740118773892,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2008,0,0,13.2,4.05723310346406,27658.4853446831,40424148.0,5.531981770439344,7.837,8.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4,13.6,9.00765087504757,26850.6645932771,5.66318573909345,8.47,0.0,8.0,6.532441989255815,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2009,0,0,12.8,-5.91852507634947,25747.1976809995,40854831.0,5.531981770439344,8.645,8.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5,13.2,4.05723310346406,27658.4853446831,5.66318573909345,7.837,0.0,8.0,-0.930645986442705,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2010,0,0,12.4,10.1253981561002,28056.2570212342,41288694.0,5.531981770439344,7.714,8.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6,12.8,-5.91852507634947,25747.1976809995,5.66318573909345,8.645,0.0,8.0,2.103436539875365,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2011,0,0,11.9,6.00395169280579,29425.7593876084,41730660.0,5.531981770439344,7.18,8.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,7,12.4,10.1253981561002,28056.2570212342,5.66318573909345,7.714,0.0,8.0,8.064674924452994,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2012,0,0,11.4,-1.0264204544321,28825.9666865361,42161721.0,5.531981770439344,7.217,8.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,8,11.9,6.00395169280579,29425.7593876084,5.66318573909345,7.18,0.0,8.0,2.4887656191868452,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2013,0,0,10.9,2.40532378079436,29227.6601818437,42582455.0,5.531981770439344,7.1,8.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,9,11.4,-1.0264204544321,28825.9666865361,5.66318573909345,7.217,0.0,8.0,0.68945166318113,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2014,0,0,10.4,-2.51261532081394,28200.8152571318,43024071.0,5.531981770439344,7.268,8.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10,10.9,2.40532378079436,29227.6601818437,5.66318573909345,7.1,0.0,8.0,-0.053645770009790095,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2015,1,0,10.0,2.73115982828944,28669.2061336796,43477012.0,5.531981770439344,7.577,9.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11,10.4,-2.51261532081394,28200.8152571318,5.66318573909345,7.268,0.0,8.0,0.10927225373774996,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2016,0,0,9.7,-2.08032784377811,27802.1057201498,43900313.0,5.531981770439344,8.088,9.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,10.0,2.73115982828944,28669.2061336796,5.66318573909345,7.577,0.0,9.0,0.325415992255665,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2017,0,0,9.4,2.81850297775918,28334.904184742,44288894.0,5.531981770439344,8.347,9.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,9.7,-2.08032784377811,27802.1057201498,5.66318573909345,8.088,0.0,9.0,0.3690875669905349,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2018,0,0,9.1,-2.61739646282038,27367.115094108,44654882.0,34.2772237131003,9.22,9.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2,9.4,2.81850297775918,28334.904184742,5.66318573909345,8.347,0.0,9.0,0.10055325746939991,0.0,1.0,0.0,0.0,0.0,0.0
ARG,2019,1,0,8.9,-2.00086100285785,26629.5529419501,44973465.0,53.5483043492339,9.843,9.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3,9.1,-2.61739646282038,27367.115094108,34.2772237131003,9.22,0.0,9.0,-2.309128732839115,0.0,1.0,0.0,0.0,0.0,0.0
ARG,2020,0,0,8.7,-9.9004848136464,23877.0931404855,45191965.0,42.0150947376509,11.461,9.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,8.9,-2.00086100285785,26629.5529419501,53.5483043492339,9.843,0.0,9.0,-5.950672908252125,0.0,1.0,0.0,0.0,0.0,0.0
ARG,2021,0,0,8.5,10.4418119882506,26300.274261175,45312281.0,48.4093786255199,8.736,9.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,8.7,-9.9004848136464,23877.0931404855,42.0150947376509,11.461,0.0,9.0,0.27066358730210016,0.0,1.0,0.0,0.0,0.0,0.0
ARG,2022,0,0,8.4,6.02074537534855,27825.0273492567,45407904.0,72.430757531824,6.805,9.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2,8.5,10.4418119882506,26300.274261175,48.4093786255199,8.736,0.0,9.0,8.231278681799576,0.0,1.0,0.0,0.0,0.0,0.0
ARG,2023,1,0,8.2,-1.85578803046339,27230.3968496682,45538401.0,133.488935594175,6.139,9.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3,8.4,6.02074537534855,27825.0273492567,72.430757531824,6.805,0.0,9.0,2.08247867244258,0.0,1.0,0.0,0.0,0.0,0.0
ARG,2024,0,0,8.0,-1.34293072157739,26771.9657650571,45696159.0,219.883929014578,7.15,9.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,8.2,-1.85578803046339,27230.3968496682,133.488935594175,6.139,0.0,9.0,-1.5993593760203901,0.0,1.0,0.0,0.0,0.0,0.0
AUS,1970,0,0,17.9,7.17469983682571,18270.06444120635,12507000.0,3.43915186655203,6.6025,10.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,18.4,3.53620866972961,18109.67372703895,5.66318573909345,6.662,0.0,8.0,7.17469983682571,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1971,0,0,17.5,4.0009865700372,18270.06444120635,12937000.0,6.13810838730341,6.6025,10.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,17.9,7.17469983682571,18109.67372703895,3.43915186655203,6.662,0.0,10.0,5.587843203431455,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1972,1,0,16.9,3.90697856876663,18270.06444120635,13177000.0,6.02410407984535,6.6025,10.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2,17.5,4.0009865700372,18109.67372703895,6.13810838730341,6.662,0.0,10.0,3.953982569401915,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1973,0,0,16.2,2.6185458738897,18270.06444120635,13380000.0,9.09090432931634,6.6025,10.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,16.9,3.90697856876663,18109.67372703895,6.02410407984535,6.662,0.0,10.0,3.262762221328165,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1974,0,0,15.3,4.10661101328289,18270.06444120635,13723000.0,15.4166772694776,6.6025,10.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,16.2,2.6185458738897,18109.67372703895,9.09090432931634,6.662,0.0,10.0,3.3625784435862953,0.0,1.0,0.0,0.0,0.0,0.0
AUS,1975,1,0,14.4,1.33870055771159,18270.06444120635,13893000.0,15.1624202011615,6.6025,10.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2,15.3,4.10661101328289,18109.67372703895,15.4166772694776,6.662,0.0,10.0,2.72265578549724,0.0,1.0,0.0,0.0,0.0,0.0
AUS,1976,0,0,13.5,2.58782205117312,18270.06444120635,14033000.0,13.3229029796495,6.6025,10.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,14.4,1.33870055771159,18109.67372703895,15.1624202011615,6.662,0.0,10.0,1.963261304442355,0.0,1.0,0.0,0.0,0.0,0.0
AUS,1977,0,0,12.7,3.59237581967973,18270.06444120635,14192000.0,12.3098267517375,6.6025,10.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,13.5,2.58782205117312,18109.67372703895,13.3229029796495,6.662,0.0,10.0,3.090098935426425,0.0,1.0,0.0,0.0,0.0,0.0
AUS,1978,0,0,11.9,0.895363440295682,18270.06444120635,14358000.0,8.00490439376775,6.6025,10.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2,12.7,3.59237581967973,18109.67372703895,12.3098267517375,6.662,0.0,10.0,2.243869629987706,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1979,0,0,11.3,4.05155094854514,18270.06444120635,14514000.0,9.12202056872265,6.6025,10.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3,11.9,0.895363440295682,18109.67372703895,8.00490439376775,6.662,0.0,10.0,2.473457194420411,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1980,0,0,10.8,3.03453508064058,18270.06444120635,14692000.0,10.1358489396034,6.6025,10.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4,11.3,4.05155094854514,18109.67372703895,9.12202056872265,6.662,0.0,10.0,3.54304301459286,0.0,1.0,0.0,0.0,0.0,0.0
AUS,1981,0,0,10.4,3.34242019351289,18270.06444120635,14923260.0,9.48766136649872,6.6025,10.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5,10.8,3.03453508064058,18109.67372703895,10.1358489396034,6.662,0.0,10.0,3.188477637076735,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1982,0,0,10.1,3.32864998005238,18270.06444120635,15184247.0,11.3518321308515,6.6025,10.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6,10.4,3.34242019351289,18109.67372703895,9.48766136649872,6.662,0.0,10.0,3.335535086782635,0.0,1.0,0.0,0.0,0.0,0.0
AUS,1983,1,0,9.8,-2.22582353017135,18270.06444120635,15393472.0,10.0389003957519,6.6025,10.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,7,10.1,3.32864998005238,18109.67372703895,11.3518321308515,6.662,0.0,10.0,0.551413224940515,0.0,1.0,0.0,0.0,0.0,0.0
AUS,1984,0,0,9.6,4.5644786594345,18270.06444120635,15579391.0,3.96040844503847,6.6025,10.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,9.8,-2.22582353017135,18109.67372703895,10.0389003957519,6.662,0.0,10.0,1.169327564631575,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1985,0,0,9.3,5.28169814609451,18270.06444120635,15788312.0,6.73468599874501,6.6025,10.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,9.6,4.5644786594345,18109.67372703895,3.96040844503847,6.662,0.0,10.0,4.923088402764505,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1986,0,0,9.1,3.96976309787884,18270.06444120635,16018350.0,9.05035323321654,6.6025,10.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2,9.3,5.28169814609451,18109.67372703895,6.73468599874501,6.662,0.0,10.0,4.625730621986675,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1987,0,0,8.7,2.5567680273608,18270.06444120635,16263874.0,8.53300355802082,6.6025,10.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3,9.1,3.96976309787884,18109.67372703895,9.05035323321654,6.662,0.0,10.0,3.26326556261982,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1988,0,0,8.4,5.76137011855324,18270.06444120635,16532164.0,7.2159571679871,6.6025,10.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4,8.7,2.5567680273608,18109.67372703895,8.53300355802082,6.662,0.0,10.0,4.1590690729570206,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1989,0,0,8.0,3.87901779350344,18270.06444120635,16814416.0,7.53389852824955,6.6025,10.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5,8.4,5.76137011855324,18109.67372703895,7.2159571679871,6.662,0.0,10.0,4.820193956028341,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1990,0,0,7.6,3.57297569098456,36267.7410592234,17065128.0,7.33302368375269,6.6025,10.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6,8.0,3.87901779350344,18109.67372703895,7.53389852824955,6.662,0.0,10.0,3.7259967422439995,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1991,0,0,7.1,-0.384631357046658,35670.6678637309,17284036.0,3.17666872277308,9.586,10.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,7,7.6,3.57297569098456,36267.7410592234,7.33302368375269,6.662,0.0,10.0,1.5941721669689504,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1992,0,0,6.7,0.433065864126704,35426.2848289008,17478635.0,1.01222824105977,10.733,10.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,8,7.1,-0.384631357046658,35670.6678637309,3.17666872277308,9.586,0.0,10.0,0.02421725354002255,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1993,0,0,6.3,4.04583374101011,36533.1468283451,17634808.0,1.75365751770527,10.879,10.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,9,6.7,0.433065864126704,35426.2848289008,1.01222824105977,10.733,0.0,10.0,2.239449802568407,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1994,0,0,6.0,3.97884434177331,37622.6524772939,17805468.0,1.96963507094102,9.724,10.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10,6.3,4.04583374101011,36533.1468283451,1.75365751770527,10.879,0.0,10.0,4.01233904139171,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1995,0,0,5.7,3.89017188961647,38653.3366778657,18004882.0,4.62776445368168,8.473,10.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11,6.0,3.97884434177331,37622.6524772939,1.96963507094102,9.724,0.0,10.0,3.9345081156948902,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1996,1,0,5.6,3.86567479160071,39663.1617728168,18224767.0,2.61537902431631,8.509,10.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,12,5.7,3.89017188961647,38653.3366778657,4.62776445368168,8.473,0.0,10.0,3.8779233406085902,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1997,0,0,5.4,3.91795814771731,40773.5660516518,18423037.0,0.224895027032537,8.367,10.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,5.6,3.86567479160071,39663.1617728168,2.61537902431631,8.509,0.0,10.0,3.89181646965901,0.0,0.0,0.0,0.0,0.0,0.0
